step,epoch,loss,val_loss,learning_rate,gpu_vram,gpu_util,elapsed_seconds
210,1.47,None,0.5003100633621216,0.0,8.20GB / 11.83GB,69.3%,6808.78
212,1.48,0.493,None,0.00010444418574363353,8.20GB / 11.83GB,69.3%,6855.57
214,1.5,0.4039,None,0.00010296333278225599,8.20GB / 11.83GB,69.3%,6898.96
216,1.51,0.3968,None,0.00010148182909136928,8.20GB / 11.83GB,69.3%,6940.91
218,1.53,0.4464,None,0.0001,8.20GB / 11.83GB,69.3%,6983.58
220,1.54,0.4816,None,9.851817090863073e-05,8.20GB / 11.83GB,69.3%,7024.48
220,1.54,None,0.4977419376373291,0.0,8.20GB / 11.83GB,69.3%,7132.04
222,1.55,0.4773,None,9.703666721774402e-05,8.20GB / 11.83GB,69.3%,7178.21
224,1.57,0.4436,None,9.555581425636648e-05,8.20GB / 11.83GB,69.3%,7220.92
226,1.58,0.4269,None,9.407593721062859e-05,8.20GB / 11.83GB,69.3%,7264.06
228,1.6,0.4214,None,9.259736105235572e-05,8.20GB / 11.83GB,69.3%,7306.76
230,1.61,0.3786,None,9.112041046770653e-05,8.20GB / 11.83GB,69.3%,7349.72
230,1.61,None,0.49496808648109436,0.0,8.20GB / 11.83GB,69.3%,7456.76
232,1.62,0.3745,None,8.96454097858737e-05,8.20GB / 11.83GB,69.3%,7504.86
234,1.64,0.5269,None,8.817268290786343e-05,8.20GB / 11.83GB,69.3%,7546.18
236,1.65,0.4481,None,8.670255323536858e-05,8.20GB / 11.83GB,69.3%,7587.8
238,1.67,0.4205,None,8.523534359975189e-05,8.20GB / 11.83GB,69.3%,7630.72
240,1.68,0.4888,None,8.3771376191154e-05,8.20GB / 11.83GB,69.3%,7673.42
240,1.68,None,0.49393391609191895,0.0,8.20GB / 11.83GB,69.3%,7780.64
242,1.69,0.407,None,8.231097248774274e-05,8.20GB / 11.83GB,69.3%,7824.83
244,1.71,0.4166,None,8.085445318511813e-05,8.20GB / 11.83GB,69.3%,7867.32
246,1.72,0.4171,None,7.940213812589018e-05,8.20GB / 11.83GB,69.3%,7909.93
248,1.74,0.4672,None,7.795434622944281e-05,8.20GB / 11.83GB,69.3%,7953.1
250,1.75,0.3693,None,7.651139542190164e-05,8.20GB / 11.83GB,69.3%,7996.48
250,1.75,None,0.49260014295578003,0.0,8.20GB / 11.83GB,69.3%,8103.07
